"srch_id","prop_id","click_bool","booking_bool"
1,54937,1,1
3,47377,1,1
6,24695,1,0
7,113456,1,1
10,31281,1,1
11,113015,1,1
12,130968,1,1
13,118530,1,1
14,22792,1,1
16,44243,1,1
17,73258,1,1
18,128062,1,0
19,80258,1,1
23,69193,1,0
24,64692,1,1
25,127609,1,1
27,98429,1,0
28,27788,1,1
30,8168,1,1
32,54493,1,1
33,59647,1,0
34,53341,1,1
35,138947,1,1
39,30810,1,1
43,105959,1,0
44,62168,1,1
46,47427,1,1
46,69539,1,0
47,109323,1,1
51,96751,1,0
53,84746,1,1
54,79183,1,0
54,134549,1,0
55,8715,1,1
57,18110,1,1
58,133382,1,0
61,95737,1,1
62,6944,1,1
63,537,1,0
64,69881,1,1
65,131591,1,1
65,94114,1,0
66,90831,1,0
67,136787,1,0
68,88192,1,0
69,36763,1,0
70,17106,1,1
74,15994,1,0
74,41278,1,0
76,95108,1,1
77,21612,1,1
80,135437,1,1
82,115468,1,1
83,42937,1,1
85,94722,1,0
86,68854,1,0
87,34832,1,1
88,118472,1,1
88,95667,1,0
89,115048,1,1
90,98106,1,1
91,38487,1,1
93,120670,1,1
94,9016,1,0
95,136979,1,0
96,23542,1,1
97,35037,1,1
98,86930,1,1
99,17000,1,0
100,128621,1,1
103,40463,1,0
106,22578,1,1
107,27722,1,1
110,41585,1,0
111,40519,1,1
113,68332,1,0
115,100023,1,1
115,122268,1,0
116,17739,1,1
118,113804,1,1
120,45936,1,1
123,43264,1,0
124,84311,1,1
126,110240,1,0
128,93227,1,0
130,35043,1,0
131,134549,1,0
132,44648,1,0
135,13623,1,0
137,59546,1,0
138,83212,1,0
139,22529,1,1
140,11826,1,1
143,68,1,1
144,78789,1,1
146,88467,1,1
148,77574,1,1
150,35202,1,1
151,117347,1,1
151,11414,1,0
151,31442,1,0
151,38846,1,0
151,42875,1,0
152,26813,1,1
156,88219,1,1
157,134837,1,1
158,50355,1,1
159,95442,1,1
161,7609,1,1
163,12189,1,1
164,95102,1,1
168,134556,1,1
169,125762,1,1
171,82610,1,1
173,27376,1,1
174,6293,1,1
175,130023,1,1
176,27525,1,1
177,6169,1,0
178,120386,1,1
180,67546,1,1
182,133797,1,0
183,77109,1,0
184,23097,1,1
186,131351,1,1
187,61197,1,1
188,86547,1,1
190,33291,1,1
191,11043,1,1
193,106260,1,0
194,55139,1,1
195,14034,1,1
196,140336,1,0
197,107431,1,0
198,92533,1,1
199,55528,1,1
200,57554,1,1
203,122749,1,0
206,1716,1,0
206,24472,1,0
206,75696,1,0
209,111942,1,1
212,67074,1,1
212,44541,1,0
215,27525,1,1
220,71928,1,1
220,29900,1,0
220,56013,1,0
220,58759,1,0
220,71023,1,0
220,116094,1,0
220,138174,1,0
224,11569,1,1
227,46406,1,0
228,113885,1,1
230,48280,1,0
232,1230,1,0
233,49114,1,1
236,104470,1,1
238,9885,1,0
239,113402,1,0
241,106095,1,1
