"srch_id","prop_id"
1,54937
3,47377
6,24695
7,113456
10,31281
11,113015
12,130968
13,118530
14,22792
16,44243
17,73258
18,128062
19,80258
23,69193
24,64692
25,127609
27,98429
28,27788
30,8168
32,54493
33,59647
34,53341
35,138947
39,30810
43,105959
44,62168
46,69539
46,47427
47,109323
51,96751
53,84746
54,79183
54,134549
55,8715
57,18110
58,133382
61,95737
62,6944
63,537
64,69881
65,94114
65,131591
66,90831
67,136787
68,88192
69,36763
70,17106
74,41278
74,15994
76,95108
77,21612
80,135437
82,115468
83,42937
85,94722
86,68854
87,34832
88,95667
88,118472
89,115048
90,98106
91,38487
93,120670
94,9016
95,136979
96,23542
97,35037
98,86930
99,17000
100,128621
103,40463
106,22578
107,27722
110,41585
111,40519
113,68332
115,100023
115,122268
116,17739
118,113804
120,45936
123,43264
124,84311
126,110240
128,93227
130,35043
131,134549
132,44648
135,13623
137,59546
138,83212
139,22529
140,11826
143,68
144,78789
146,88467
148,77574
150,35202
151,117347
151,31442
151,11414
151,42875
151,38846
152,26813
156,88219
157,134837
158,50355
159,95442
161,7609
163,12189
164,95102
168,134556
169,125762
171,82610
173,27376
174,6293
175,130023
176,27525
177,6169
178,120386
180,67546
182,133797
183,77109
184,23097
186,131351
187,61197
188,86547
190,33291
191,11043
193,106260
194,55139
195,14034
196,140336
197,107431
198,92533
199,55528
200,57554
203,122749
206,75696
206,1716
206,24472
209,111942
212,44541
212,67074
215,27525
220,138174
220,56013
220,116094
220,29900
220,71928
220,58759
220,71023
224,11569
227,46406
228,113885
230,48280
232,1230
233,49114
236,104470
238,9885
239,113402
241,106095
245,125997
246,54795
247,35809
253,45482
254,79394
255,2885
256,57125
257,53657
258,16097
261,66729
264,92584
267,9997
268,131872
269,2889
270,90781
271,42896
272,913
274,103307
275,22578
276,74164
277,2951
278,91172
279,80946
280,61286
282,97689
283,35986
284,5251
285,38898
286,78971
287,58040
288,47525
291,5792
292,109225
295,102445
296,69881
297,8349
298,135897
299,104828
300,19442
302,65
304,61717
307,130699
308,100586
309,133786
310,37256
315,10429
317,60758
318,25424
319,40895
320,96585
321,17723
322,11414
322,63682
323,83018
323,102395
327,85555
328,70368
329,25464
333,121287
334,133200
335,76088
338,92430
339,33471
341,102874
342,125868
344,59780
345,64381
346,120386
347,140337
349,37639
350,44791
352,44213
357,56113
358,49532
360,18688
362,67542
363,46192
364,73760
366,109103
368,52839
369,114250
373,96413
374,83956
374,79031
374,59541
374,124619
374,85578
378,2476
380,137592
381,29184
382,77292
383,93131
384,67640
387,94859
389,47865
390,21198
391,41326
392,13004
393,16826
394,77965
395,118337
396,79083
398,36227
401,96426
403,54116
404,25820
408,62820
409,60370
410,76854
414,29749
415,9992
416,93150
417,16128
419,18634
420,20362
421,131582
422,42967
423,134058
425,90621
426,58041
427,67746
428,61820
429,67837
432,134786
433,53393
436,94352
437,27119
438,120968
440,24037
442,3553
443,125864
446,67607
447,49733
448,90643
450,136268
453,14818
454,84584
454,27010
455,52810
459,113539
460,88514
464,41993
466,110251
467,87513
468,82483
469,37818
472,49034
476,37489
478,125643
480,90206
481,133579
482,84802
483,2103
485,110225
487,53141
488,22431
489,126944
490,117347
491,52007
491,50202
492,94762
493,61598
494,81249
495,90809
495,38904
496,124858
497,84724
499,100748
500,36820
501,11020
504,75457
505,124845
506,22039
507,111440
509,126595
511,35081
512,35125
513,60857
515,74799
516,69334
519,85106
519,14352
520,44737
521,15994
523,5385
525,122359
526,25413
527,111116
528,70934
529,31442
530,67560
531,121764
533,30277
535,99030
536,85065
538,139589
541,20013
542,26857
544,108834
546,9812
548,116942
549,14301
550,126755
552,104112
554,45612
555,94438
558,115929
559,34747
561,53848
562,119274
563,76246
564,71686
565,92307
566,32248
567,4688
570,53264
572,33815
573,1230
574,58990
576,27982
577,61203
578,15662
579,25486
582,39639
584,86428
585,88219
588,5733
589,130530
591,67846
594,91975
596,57230
599,29501
600,131352
601,71158
603,108262
605,100586
606,37355
609,140414
611,53443
620,13237
622,47818
624,23776
625,95101
629,28232
630,24767
631,78613
632,21283
634,23757
635,23345
636,80468
637,81465
638,138985
639,42822
640,75408
641,49656
642,131920
643,103693
647,68783
648,55092
650,14750
650,88133
650,31073
651,93631
653,63945
660,16221
661,42936
663,108440
664,16230
670,136051
671,104092
673,30222
675,58167
676,65516
677,106404
678,92839
679,126234
681,99958
682,25159
684,125897
685,58132
686,76087
688,83840
689,132658
691,24624
692,2835
694,5830
696,99616
697,121304
698,123156
699,121617
700,62762
703,57847
703,49547
703,79092
704,110280
705,80932
707,77254
709,23268
710,79389
710,60176
711,66438
714,117163
719,45099
720,67839
721,4767
722,113517
723,70659
725,34818
726,117255
727,18338
728,6393
730,11850
731,44476
733,133077
736,27525
742,99743
743,95832
744,63018
746,81919
747,23308
748,88307
749,135487
751,49039
752,69947
755,40998
757,125096
758,49162
759,115841
759,67667
761,92093
762,30880
764,31912
766,16412
766,18542
767,81489
769,51354
774,87749
777,32626
779,48432
779,52679
780,54876
782,24138
783,22013
784,131131
